央视,#genre#
文物宝库,http://39.135.250.71/PLTV/88888888/224/3221226714/1.m3u8
武术世界,http://39.135.250.71/PLTV/88888888/224/3221226707/1.m3u8
梨园频道,http://39.135.250.71/PLTV/88888888/224/3221226727/1.m3u8
新动漫,http://39.135.250.71/PLTV/88888888/224/3221226670/1.m3u8
嘉佳卡通,http://39.135.250.71/PLTV/88888888/224/3221226790/1.m3u8
哈哈炫动,http://39.135.250.71/PLTV/88888888/224/3221226758/1.m3u8
动漫秀场,http://39.135.250.71/PLTV/88888888/224/3221226767/1.m3u8
卡酷少儿,http://39.135.250.71/PLTV/88888888/224/3221226177/1.m3u8
金鹰卡通,http://39.135.250.71/PLTV/88888888/224/3221226715/1.m3u8
金鹰纪实,http://39.135.250.71/PLTV/88888888/224/3221226666/1.m3u8
快乐垂钓,http://39.135.250.71/PLTV/88888888/224/3221226671/1.m3u8
茶频道,http://39.135.250.71/PLTV/88888888/224/3221226679/1.m3u8
老故事,http://39.135.250.71/PLTV/88888888/224/3221226739/1.m3u8
中学生,http://39.135.250.71/PLTV/88888888/224/3221226774/1.m3u8
财富天下,http://39.135.250.71/PLTV/88888888/224/3221226651/1.m3u8
汽摩频道,http://39.135.250.71/PLTV/88888888/224/3221226733/1.m3u8
书画频道,http://39.135.250.71/PLTV/88888888/224/3221226665/1.m3u8
四海钓鱼,http://39.135.250.71/PLTV/88888888/224/3221226662/1.m3u8
先锋乒羽,http://39.135.250.71/PLTV/88888888/224/3221226668/1.m3u8
央广购物,http://39.135.250.71/PLTV/88888888/224/3221226660/1.m3u8
都市剧场,http://39.135.250.71/PLTV/88888888/224/3221226762/1.m3u8
生活时尚,http://39.135.250.71/PLTV/88888888/224/3221226764/1.m3u8
乐游频道,http://39.135.250.71/PLTV/88888888/224/3221226765/1.m3u8
法治天地,http://39.135.250.71/PLTV/88888888/224/3221226770/1.m3u8
游戏风云,http://39.135.250.71/PLTV/88888888/224/3221226768/1.m3u8
金色学堂,http://39.135.250.71/PLTV/88888888/224/3221226796/1.m3u8
东方财经,http://39.135.250.71/PLTV/88888888/224/3221226799/1.m3u8
优购物,http://39.135.250.71/PLTV/88888888/224/3221226776/1.m3u8
快乐购,http://39.135.250.71/PLTV/88888888/224/3221226786/1.m3u8
聚鲨环球精选,http://39.135.250.71/PLTV/88888888/224/3221226805/1.m3u8
睛彩青少,http://39.135.250.71/PLTV/88888888/224/3221226761/1.m3u8
睛彩广场舞,http://39.135.250.71/PLTV/88888888/224/3221226793/1.m3u8
睛彩竞技,http://39.135.250.71/PLTV/88888888/224/3221226580/1.m3u8
睛彩篮球,http://39.135.250.71/PLTV/88888888/224/3221226582/1.m3u8
百视通直播10,http://39.135.250.71/PLTV/88888888/224/3221226195/1.m3u8
百视通直播9,http://39.135.250.71/PLTV/88888888/224/3221226194/1.m3u8
百视通直播8,http://39.135.250.71/PLTV/88888888/224/3221226193/1.m3u8
百视通直播7,http://39.135.250.71/PLTV/88888888/224/3221226192/1.m3u8
百视通直播6,http://39.135.250.71/PLTV/88888888/224/3221226191/1.m3u8
百视通直播5,http://39.135.250.71/PLTV/88888888/224/3221226190/1.m3u8
百视通直播4,http://39.135.250.71/PLTV/88888888/224/3221226189/1.m3u8
百视通直播3,http://39.135.250.71/PLTV/88888888/224/3221226188/1.m3u8
百视通直播2,http://39.135.250.71/PLTV/88888888/224/3221226187/1.m3u8
百视通直播1,http://39.135.250.71/PLTV/88888888/224/3221226151/1.m3u8
CCTV1,http://39.135.250.71/PLTV/88888888/224/3221226113/1.m3u8
CCTV1,http://39.135.250.71/PLTV/88888888/224/3221226731/1.m3u8
4K测试,http://39.135.250.71/PLTV/88888888/224/3221226783/1.m3u8
