央视,#genre#
东南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3540417BESTVSMGSMG/index.m3u8?m3u8_level=2
广东卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181359BESTVSMGSMG/index.m3u8?m3u8_level=2
广西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000045BESTVSMGSMG/index.m3u8?m3u8_level=2
贵州卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4252663BESTVSMGSMG9/index.m3u8?m3u8_level=2
海南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN4252684BESTVSMGSMG9/index.m3u8?m3u8_level=2
重庆卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3840707BESTVSMGSMG9/index.m3u8?m3u8_level=2
山东卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN911992BESTVSMGSMG/index.m3u8?m3u8_level=2
深圳卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181362BESTVSMGSMG/index.m3u8?m3u8_level=2
四川卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3840706BESTVSMGSMG9/index.m3u8?m3u8_level=2
天津卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3450000BESTVSMGSMG/index.m3u8?m3u8_level=2
河北卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN100000002BESTVSMGSMG9/index.m3u8?m3u8_level=2
河南卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000044BESTVSMGSMG/index.m3u8?m3u8_level=2
黑龙江卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN181356BESTVSMGSMG/index.m3u8?m3u8_level=2
吉林卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN5000046BESTVSMGSMG/index.m3u8?m3u8_level=2
江西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3468921BESTVSMGSMG/index.m3u8?m3u8_level=2
辽宁卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN3450001BESTVSMGSMG/index.m3u8?m3u8_level=2
甘肃卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN6000067BESTVSMGSMG/index.m3u8?m3u8_level=2
山西卫视,http://ztecdn.hb.chinamobile.com:6060/170000001115/UmaiCHAN1344BESTVSMGSMG9/index.m3u8?m3u8_level=2
